foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,matching_score,new,old_name
Esenttia Mb Ltda,Colombia,2021,Colombia,COL,Esenttia Mb Ltda,CHN_1601,,1,
Sun Fiber Llc,United States,2021,United States,USA,Sun Fiber Llc,846_USA,,0,846_USA
Flowsun Energy And Engineering Sysrem,India,2020,India,IND,Flowsun Energy And Engineering Sysrem,9752_IND,0.0,0,9752_IND
The Falling Coconut,Canada,2020,Canada,CAN,The Falling Coconut,2118_CAN,0.0,0,2118_CAN
Agarwal Coal Corporation S Pte,Singapore,2019,Singapore,SGP,Agarwal Coal Corporation S Pte,4446_SGP,100.0,0,4446_SGP
Qingdao Guanbaohe International Trade,China,2019,China,CHN,Qingdao Guanbaohe International Trade,CHN_1602,85.0,1,
Shanghai Huaiyi International Freight Agency Lt,China,2021,China,CHN,Shanghai Huaiyi International Freight Agency Lt,CHN_1603,,1,
I Chiang Machinery,Taiwan,2019,Taiwan,TWN,I Chiang Machinery,CHN_1604,84.0,1,
Lfhk Merch,Hong Kong,2019,Hong Kong,HKG,Lfhk Merch,1587_HKG,0.0,0,1587_HKG
Nihon Tech Corp,Japan,2019,Japan,JPN,Nihon Tech Corp,9800_JPN,0.0,0,9800_JPN
Raute Oyj,Finland,2019,Finland,FIN,Raute Oyj,218_FIN,0.0,0,218_FIN
Lanka Plastic Indutries,Sri Lanka,2019,Sri Lanka,LKA,Lanka Plastic Indutries,CHN_1605,81.0,1,
Nike Culver City,United States,2019,United States,USA,Nike Culver City,6563_USA,0.0,0,6563_USA
"Ha Li Fa Pte., Ltd.",Singapore,2019,Singapore,SGP,Ha Li Fa Pte Ltd,CHN_1606,100.0,1,
Haining Jinrui Imp. Andexport,China,2021,China,CHN,Haining Jinrui Imp Andexport,CHN_1607,,1,
Hanel Plastics Jsc,Vietnam,2020,Vietnam,VNM,Hanel Plastics Jsc,CHN_1608,89.0,1,
1 We Teks Tekstil Sanayi Ve,Turkey,2019,Turkey,TUR,1 We Teks Tekstil Sanayi Ve,1537_TUR,0.0,0,1537_TUR
Country Road Group Botanicca Building 2 Loadhing,Australia,2019,Australia,AUS,Country Road Group Botanicca Building 2 Loadhing,970_AUS,100.0,0,970_AUS
Ofr Telecom Private Ltd.,India,2019,India,IND,Ofr Telecom Private Ltd,8983_IND,100.0,0,8983_IND
One United Synergy Pte,Singapore,2019,Singapore,SGP,One United Synergy Pte,12019_SGP,0.0,0,12019_SGP
Zhejiang Compressed Fluid Technology,China,2019,China,CHN,Zhejiang Compressed Fluid Technology,13392_CHN,0.0,0,13392_CHN
Biooils Huelva Slu Poligono Industrial Nuevo Puer,Spain,2021,Spain,ESP,Biooils Huelva Slu Poligono Industrial Nuevo Puer,CHN_1609,,1,
I V Bio,Thailand,2020,Thailand,THA,I V Bio,4022_THA,0.0,0,4022_THA
Dnr Wheels Pte,Singapore,2019,Singapore,SGP,Dnr Wheels Pte,14290_SGP,0.0,0,14290_SGP
Cofco Biochemical Anhui,China,2019,China,CHN,Cofco Biochemical Anhui,49250_CHN,0.0,0,49250_CHN
"Shanxi Yougesi Trading Co., Ltd.",China,2019,China,CHN,Shanxi Yougesi Trading Co Ltd,CHN_1610,0.0,1,
,Mayotte,2020,Mayotte,MYT,,CHN_1611,0.0,1,
Shijiazhuang Kuoya Imp. Exp.,China,2019,China,CHN,Shijiazhuang Kuoya Imp Exp,CHN_1612,87.0,1,
Guagzhou Guangxing Poultry Equipment Gro,China,2021,China,CHN,Guagzhou Guangxing Poultry Equipment Gro,CHN_1613,,1,
Alliance Foods Co. Llc,United Arab Emirates,2019,United Arab Emirates,ARE,Alliance Foods Co Llc,1904_ARE,0.0,0,1904_ARE
Diy Trading Thailand,Thailand,2021,Thailand,THA,Diy Trading Thailand,CHN_1614,,1,
Sweetea,South Korea,2021,,,Sweetea,CHN_1615,,1,
Dbw,Vietnam,2021,Vietnam,VNM,Dbw,CHN_1616,,1,
Tangmin Fineline Technologies,China,2020,China,CHN,Tangmin Fineline Technologies,53238_CHN,0.0,0,53238_CHN
Fujian Agestar Electrical Machinery,China,2020,China,CHN,Fujian Agestar Electrical Machinery,CHN_1617,87.0,1,
Cdi Do Brasil Com E Exp. De Commodities,Brazil,2019,Brazil,BRA,Cdi Do Brasil Com E Exp De Commodities,1263_BRA,100.0,0,1263_BRA
Printmate S Pte,Singapore,2020,Singapore,SGP,Printmate S Pte,6758_SGP,0.0,0,6758_SGP
Grandtex Asia Corp,Taiwan,2019,Taiwan,TWN,Grandtex Asia Corp,CHN_1618,94.0,1,
Upmkymmene Seven Seay Oy,Finland,2019,Finland,FIN,Upmkymmene Seven Seay Oy,664_FIN,0.0,0,664_FIN
Tuan Malik,Malaysia,2020,Malaysia,MYS,Tuan Malik,724_MYS,0.0,0,724_MYS
Sehm Group,Reunion,2020,Reunion,REU,Sehm Group,201_REU,0.0,0,201_REU
Greatek,Taiwan,2019,Taiwan,TWN,Greatek,2230_TWN,0.0,0,2230_TWN
Zibo O M Y Economic Trading Lt,China,2020,China,CHN,Zibo O M Y Economic Trading Lt,20418_CHN,100.0,0,20418_CHN
Unify Texturisers,India,2021,India,IND,Unify Texturisers,CHN_1619,,1,
Sojitz Planet Corportion,Japan,2019,Japan,JPN,Sojitz Planet Corportion,CHN_1620,81.0,1,
Ebf Cargo Cia Ltda,Ecuador,2019,Ecuador,ECU,Ebf Cargo Cia Ltda,267_ECU,0.0,0,267_ECU
Bozhou Haomen Chinese Herbal Medicine,China,2019,China,CHN,Bozhou Haomen Chinese Herbal Medicine,17768_CHN,0.0,0,17768_CHN
Appgrp Memphis Tn,United States,2019,United States,USA,Appgrp Memphis Tn,23465_USA,0.0,0,23465_USA
Mangana Olinda Arts Crafts,Australia,2020,Australia,AUS,Mangana Olinda Arts Crafts,1996_AUS,100.0,0,1996_AUS
Konaka Industries,Japan,2019,Japan,JPN,Konaka Industries,CHN_1621,85.0,1,
Ningbo Suppmax Imp. Exp.,China,2021,China,CHN,Ningbo Suppmax Imp Exp,CHN_1622,,1,
Fu Sheng Foods,Taiwan,2020,Taiwan,TWN,Fu Sheng Foods,1146_TWN,100.0,0,1146_TWN
Panduit Communication Components Wuxi,China,2019,China,CHN,Panduit Communication Components Wuxi,51039_CHN,0.0,0,51039_CHN
Parnassa Commercio De Tecidos E Aviamentos Ltda,Brazil,2021,Brazil,BRA,Parnassa Commercio De Tecidos E Aviamentos Ltda,13_BRA,,0,13_BRA
Pestwest Electronics,United Kingdom,2020,United Kingdom,GBR,Pestwest Electronics,5969_GBR,0.0,0,5969_GBR
Shenzhen Guangsan Technology,China,2020,China,CHN,Shenzhen Guangsan Technology,CHN_1623,86.0,1,
Zhengzhou Jiechang Machinery,China,2020,China,CHN,Zhengzhou Jiechang Machinery,CHN_1624,81.0,1,
Thai Nichias Engineering,Thailand,2019,Thailand,THA,Thai Nichias Engineering,6607_THA,0.0,0,6607_THA
United Circuits Board S Pte,Singapore,2020,Singapore,SGP,United Circuits Board S Pte,10867_SGP,0.0,0,10867_SGP
Renew World Outreach,United States,2019,United States,USA,Renew World Outreach,14530_USA,0.0,0,14530_USA
Jiaxing Kj Imp. Exp.,China,2020,China,CHN,Jiaxing Kj Imp Exp,CHN_1625,82.0,1,
Newwide Ring Song Textile,China,2021,China,CHN,Newwide Ring Song Textile,CHN_1626,,1,
Shandong Young International Trading,China,2021,China,CHN,Shandong Young International Trading,CHN_1627,,1,
Effort Point International Group Ltd.,China,2020,China,CHN,Effort Point International Group Ltd,13963_CHN,100.0,0,13963_CHN
Master Butchers Operative,Australia,2021,Australia,AUS,Master Butchers Operative,3321_AUS,,0,3321_AUS
Song Liang Inc. Co.,Taiwan,2021,Taiwan,TWN,Song Liang Inc Co,7508_TWN,,0,7508_TWN
Shandong Shida Shenghua Chemical Group,China,2020,China,CHN,Shandong Shida Shenghua Chemical Group,14278_CHN,0.0,0,14278_CHN
Purolator Efp,United States,2020,United States,USA,Purolator Efp,25502_USA,100.0,0,25502_USA
Shanghai Jibo International Trading,China,2021,China,CHN,Shanghai Jibo International Trading,CHN_1628,,1,
Bangla Japan Trading,Bangladesh,2019,Bangladesh,BGD,Bangla Japan Trading,626_BGD,0.0,0,626_BGD
Tecnosuperiore,Italy,2021,Italy,ITA,Tecnosuperiore,CHN_1629,,1,
Wakei Warehouse Transportation O B Quinorgan S L,Hong Kong,2019,Hong Kong,HKG,Wakei Warehouse Transportation O B Quinorgan S L,CHN_1630,94.0,1,
Rhenzo Trading,Philippines,2020,Philippines,PHL,Rhenzo Trading,692_PHL,100.0,0,692_PHL
Macworld Industries Ltd. Malaysia,Malaysia,2019,Malaysia,MYS,Macworld Industries Ltd Malaysia,CHN_1631,84.0,1,
Hsun Hong Kong International,Hong Kong,2019,Hong Kong,HKG,Hsun Hong Kong International,CHN_1632,83.0,1,
Airbus Asiapasific Spares Centre Satair Pte,Singapore,2020,Singapore,SGP,Airbus Asiapasific Spares Centre Satair Pte,8317_SGP,0.0,0,8317_SGP
Daeco Ltd.,Hong Kong,2020,Hong Kong,HKG,Daeco Ltd,9449_HKG,100.0,0,9449_HKG
Tower Commodities Singapore Pte,Singapore,2021,Singapore,SGP,Tower Commodities Singapore Pte,823_CHN,,0,823_CHN
Iwona Saternus,Poland,2021,Poland,POL,Iwona Saternus,CHN_1633,,1,
Zhejiang Yueling,China,2021,China,CHN,Zhejiang Yueling,13938_CHN,,0,13938_CHN
Aston Aviation Suppiles Pte,Singapore,2019,Singapore,SGP,Aston Aviation Suppiles Pte,CHN_1634,96.0,1,
Style Nations Llc,United States,2020,United States,USA,Style Nations Llc,1782_USA,0.0,0,1782_USA
Bang Paper Boards Privatelimited,India,2020,India,IND,Bang Paper Boards Privatelimited,1073_IND,100.0,0,1073_IND
Dong Nai Plastic Jsc Donaplast,Vietnam,2020,Vietnam,VNM,Dong Nai Plastic Jsc Donaplast,4452_VNM,0.0,0,4452_VNM
Takahari Marketing Sdn Bhd,Malaysia,2021,Malaysia,MYS,Takahari Marketing Sdn Bhd,1194_MYS,,0,1194_MYS
N.Y. Enterprises Inc.,United States,2021,United States,USA,Ny Enterprises Inc,CHN_1635,,1,
Uniontech,Japan,2020,Japan,JPN,Uniontech,10509_JPN,0.0,0,10509_JPN
Ofs Brands Holdings,United States,2021,United States,USA,Ofs Brands Holdings,1810_USA,,0,1810_USA
Kadiibro,Benin,2020,Benin,BEN,Kadiibro,34_BEN,100.0,0,34_BEN
Yiwu Haodong Imp. Exp.,China,2021,China,CHN,Yiwu Haodong Imp Exp,8915_CHN,,0,8915_CHN
Indotali International Srl Unipersonal,Italy,2021,Italy,ITA,Indotali International Srl Unipersonal,CHN_1636,,1,
Trizie Outdoor (Pty),Australia,2021,Australia,AUS,Trizie Outdoor (Pty),CHN_1637,,1,
Shanghai Huaqin Telecom Technology,China,2020,China,CHN,Shanghai Huaqin Telecom Technology,CHN_1638,85.0,1,
Riki Japan,Japan,2021,Japan,JPN,Riki Japan,187_JPN,,0,187_JPN
Cairns Hardware Co. (Pty),Australia,2020,Australia,AUS,Cairns Hardware Co (Pty),6427_AUS,0.0,0,6427_AUS
Guangzhou Woojin Textile,China,2019,China,CHN,Guangzhou Woojin Textile,11794_CHN,0.0,0,11794_CHN
King Power Traveler,Hong Kong,2020,Hong Kong,HKG,King Power Traveler,8770_HKG,0.0,0,8770_HKG
Chemtrans Warehouse Nsw,Australia,2020,Australia,AUS,Chemtrans Warehouse Nsw,3434_AUS,0.0,0,3434_AUS
Uchida Mk Sdn Bhd,Malaysia,2020,Malaysia,MYS,Uchida Mk Sdn Bhd,4112_MYS,0.0,0,4112_MYS
Shenzhen Wu Brother Timber Trading Ltd.,China,2020,China,CHN,Shenzhen Wu Brother Timber Trading Ltd,9066_CHN,100.0,0,9066_CHN
Ekotec Gusstechnik Gmb H Kg,Germany,2021,Germany,DEU,Ekotec Gusstechnik Gmb H Kg,2669_DEU,,0,2669_DEU
Namye Food Industries Sdn Bhd,Malaysia,2021,Malaysia,MYS,Namye Food Industries Sdn Bhd,CHN_1639,,1,
Vf Hongkong,Hong Kong,2019,Hong Kong,HKG,Vf Hongkong,CHN_1640,87.0,1,
To Order,Sudan,2019,Sudan,SDN,To Order,5340_VNM,100.0,0,5340_VNM
Li Yang Electric Machinery,China,2021,China,CHN,Li Yang Electric Machinery,5225_CHN,,0,5225_CHN
Dniv International Pte,Singapore,2021,Singapore,SGP,Dniv International Pte,CHN_1641,,1,
Industrias Videca S A,Spain,2019,Spain,ESP,Industrias Videca S A,284_ESP,100.0,0,284_ESP
Foshan Xindian Central Air Conditioning,China,2019,China,CHN,Foshan Xindian Central Air Conditioning,33753_CHN,0.0,0,33753_CHN
Bizbid Global,Hong Kong,2020,Hong Kong,HKG,Bizbid Global,13469_HKG,0.0,0,13469_HKG
Teijin Frontier (Usa) . Inc.,United States,2021,United States,USA,Teijin Frontier (Usa) Inc,CHN_1642,,1,
Kgk Diamonds I Private Ltd.,India,2019,India,IND,Kgk Diamonds I Private Ltd,6783_IND,100.0,0,6783_IND
China Ordins Group,China,2020,China,CHN,China Ordins Group,2996_CHN,100.0,0,2996_CHN
Brynna London,United States,2021,United States,USA,Brynna London,CHN_1643,,1,
Tucson Spectrum Ii Old Navy Llc,United States,2019,United States,USA,Tucson Spectrum Ii Old Navy Llc,13680_USA,0.0,0,13680_USA
Parts Supply Worldwide B V,Netherlands,2020,Netherlands,NLD,Parts Supply Worldwide B V,3717_NLD,0.0,0,3717_NLD
Flsmidth S A,Chile,2020,Chile,CHL,Flsmidth S A,559_CHL,100.0,0,559_CHL
Bodco,Seychelles,2019,Seychelles,SYC,Bodco,76_SYC,0.0,0,76_SYC
Zagg International,Ireland,2019,Ireland,IRL,Zagg International,396_IRL,0.0,0,396_IRL
Litaflex Plastics Mfg Pte,Singapore,2019,Singapore,SGP,Litaflex Plastics Mfg Pte,CHN_1644,91.0,1,
Zhuhai Asia Pacific Private Ltd.,Singapore,2019,Singapore,SGP,Zhuhai Asia Pacific Private Ltd,8550_SGP,0.0,0,8550_SGP
Hitachi Metals Singapore Pte,Singapore,2019,Singapore,SGP,Hitachi Metals Singapore Pte,CHN_1645,92.0,1,
Yiwu Ruiyi Imp. Exp.,China,2020,China,CHN,Yiwu Ruiyi Imp Exp,CHN_1646,84.0,1,
Polymer Technologies (Pty),Australia,2019,Australia,AUS,Polymer Technologies (Pty),6604_AUS,0.0,0,6604_AUS
Global Fire Trade Llc,United States,2020,United States,USA,Global Fire Trade Llc,CHN_1647,89.0,1,
Mohamad Abdulaziz Al Obedan Trading,Saudi Arabia,2019,Saudi Arabia,SAU,Mohamad Abdulaziz Al Obedan Trading,1176_SAU,0.0,0,1176_SAU
Aljanain For Printing Technology,Iraq,2020,Iraq,IRQ,Aljanain For Printing Technology,255_JOR,0.0,0,255_JOR
Dysan Global Pte Uen200416766,Singapore,2021,Singapore,SGP,Dysan Global Pte Uen200416766,CHN_1648,,1,
Shijiazhuang Jackhem,China,2019,China,CHN,Shijiazhuang Jackhem,CHN_1649,82.0,1,
Projectbar Management Holdings,Israel,2020,Israel,ISR,Projectbar Management Holdings,CHN_1650,85.0,1,
Shanghai Waypull Trading,China,2021,China,CHN,Shanghai Waypull Trading,CHN_1651,,1,
"Suzhou Puzhou Industrial Co., Ltd.",China,2021,China,CHN,Suzhou Puzhou Industrial Co Ltd,CHN_1652,,1,
Master Of Bw Japan Pac Districentre Pte,Singapore,2020,Singapore,SGP,Master Of Bw Japan Pac Districentre Pte,3624_SGP,0.0,0,3624_SGP
Indian Marine Industries,India,2019,India,IND,Indian Marine Industries,CHN_1653,83.0,1,
Yangjiang Wei Shun Trading,China,2020,China,CHN,Yangjiang Wei Shun Trading,31995_CHN,0.0,0,31995_CHN
Hengchang Machinery Factory,China,2019,China,CHN,Hengchang Machinery Factory,10077_CHN,0.0,0,10077_CHN
Dongguan Tongxia Printing Machinery Col,China,2020,China,CHN,Dongguan Tongxia Printing Machinery Col,41789_CHN,0.0,0,41789_CHN
"Terumobct Asia Pte., Ltd.",Singapore,2021,Singapore,SGP,Terumobct Asia Pte Ltd,CHN_1654,,1,
Shenzhen Ant Medical Devices,China,2019,China,CHN,Shenzhen Ant Medical Devices,CHN_1655,88.0,1,
Johnson Trading Shanghai,China,2021,China,CHN,Johnson Trading Shanghai,CHN_1656,,1,
Tiantai Aible Industry,China,2021,China,CHN,Tiantai Aible Industry,32097_CHN,,0,32097_CHN
Al Wosabi For Sarongs Center,Yemen,2019,Yemen,YEM,Al Wosabi For Sarongs Center,53_YEM,100.0,0,53_YEM
Shiva Pharmachem Ltd.,India,2019,India,IND,Shiva Pharmachem Ltd,CHN_1657,82.0,1,
Maschinenfabrik Rieter Ag,Germany,2019,Germany,DEU,Maschinenfabrik Rieter Ag,43_SWZ,100.0,0,43_SWZ
Valero Marketing And Supply Co.,United States,2020,United States,USA,Valero Marketing And Supply Co,18410_USA,100.0,0,18410_USA
Sgs Australia (Pty),Australia,2020,Australia,AUS,Sgs Australia (Pty),CHN_1658,83.0,1,
Halliburton Png,Papua New Guinea,2021,Papua New Guinea,PNG,Halliburton Png,171_PNG,,0,171_PNG
Dinghong Optoelectronics,Taiwan,2019,Taiwan,TWN,Dinghong Optoelectronics,1497_TWN,100.0,0,1497_TWN
Qingdao Regisencore International Trade,China,2019,China,CHN,Qingdao Regisencore International Trade,CHN_1659,82.0,1,
Diamond Food Industries,Egypt,2019,Egypt,EGY,Diamond Food Industries,CHN_1660,94.0,1,
National Technologies Inc.,United States,2019,United States,USA,National Technologies Inc,CHN_1661,82.0,1,
Hiltec,Japan,2019,Japan,JPN,Hiltec,CHN_1662,91.0,1,
Zhaoqing Yongjin Imp. Exp. Trading,China,2019,China,CHN,Zhaoqing Yongjin Imp Exp Trading,CHN_1663,81.0,1,
Suzhou Yuncheng E I,China,2020,China,CHN,Suzhou Yuncheng E I,CHN_1664,95.0,1,
Mohammed Hussain Baabbad Trading Est,Saudi Arabia,2019,Saudi Arabia,SAU,Mohammed Hussain Baabbad Trading Est,1074_SAU,0.0,0,1074_SAU
Cong Ty Dong Jin Textile Vina,Vietnam,2021,Vietnam,VNM,Cong Ty Dong Jin Textile Vina,CHN_1665,,1,
Ocs Heatrow Office,United Kingdom,2019,United Kingdom,GBR,Ocs Heatrow Office,5371_GBR,0.0,0,5371_GBR
Wilson Sporting Goods De Mexico Sa De C V,Mexico,2021,Mexico,MEX,Wilson Sporting Goods De Mexico Sa De C V,CHN_1666,,1,
Mikuni Taiwan Corporation,Taiwan,2019,Taiwan,TWN,Mikuni Taiwan Corporation,CHN_1667,81.0,1,
Enfortech Solution Pte,Singapore,2020,Singapore,SGP,Enfortech Solution Pte,CHN_1668,85.0,1,
Ssab Swedish Steel Sdn Bhd,Malaysia,2021,Malaysia,MYS,Ssab Swedish Steel Sdn Bhd,4193_MYS,,0,4193_MYS
Novo Nordisk A S,Denmark,2021,Denmark,DNK,Novo Nordisk A S,531_DNK,,0,531_DNK
Sotran Trading,South Africa,2021,South Africa,ZAF,Sotran Trading,220_ZAF,,0,220_ZAF
Chong Ye Technology,Taiwan,2020,Taiwan,TWN,Chong Ye Technology,907_TWN,0.0,0,907_TWN
Moico,OTH,2021,OTH,OTH,Moico,CHN_1669,,1,
Rr Private Office,United Kingdom,2020,United Kingdom,GBR,Rr Private Office,3501_GBR,0.0,0,3501_GBR
Public Packages Asia Sdn Bhd,Malaysia,2021,Malaysia,MYS,Public Packages Asia Sdn Bhd,CHN_1670,,1,
Ningbo Guifeng Lighting Technology L,China,2020,China,CHN,Ningbo Guifeng Lighting Technology L,CHN_1671,86.0,1,
Teraflex,United States,2019,United States,USA,Teraflex,27375_USA,0.0,0,27375_USA
Three Oceans,Japan,2021,Japan,JPN,Three Oceans,153_JPN,,0,153_JPN
Comec Technologies Sdn Bhd,Malaysia,2021,Malaysia,MYS,Comec Technologies Sdn Bhd,CHN_1672,,1,
Shenhua Hong Kong International Trading Ltd.,China,2021,China,CHN,Shenhua Hong Kong International Trading Ltd,CHN_1673,,1,
Pan Pacific Ho Chi Minh,Vietnam,2021,Vietnam,VNM,Pan Pacific Ho Chi Minh,1728_VNM,,0,1728_VNM
Dick's Sporting Goods Atlanta Dc,United States,2021,United States,USA,Dick'S Sporting Goods Atlanta Dc,622_USA,,0,622_USA
Buckeye Fire Equipment Co.,United States,2019,United States,USA,Buckeye Fire Equipment Co,26834_USA,100.0,0,26834_USA
Trang Printing,Thailand,2020,Thailand,THA,Trang Printing,2304_THA,100.0,0,2304_THA
Changzhou Koop Imp. Exp.,China,2020,China,CHN,Changzhou Koop Imp Exp,CHN_1674,84.0,1,
Jiaozhou Ruiyuan Metals,China,2019,China,CHN,Jiaozhou Ruiyuan Metals,43465_CHN,100.0,0,43465_CHN
Shanghai Az Winner International Trade L,China,2019,China,CHN,Shanghai Az Winner International Trade L,CHN_1675,81.0,1,
Abdullah Traders,Pakistan,2021,Pakistan,PAK,Abdullah Traders,321_PAK,,0,321_PAK
Zhongshan Meidong Garment Interlinling,China,2021,China,CHN,Zhongshan Meidong Garment Interlinling,CHN_1676,,1,
Dongguan Dexin Furniture Industry,China,2019,China,CHN,Dongguan Dexin Furniture Industry,23022_CHN,0.0,0,23022_CHN
Puma Japan Logistics Center Puma Japan K K,Japan,2021,Japan,JPN,Puma Japan Logistics Center Puma Japan K K,CHN_1677,,1,
Bk Giulini Gmb H,Germany,2021,Germany,DEU,Bk Giulini Gmb H,4717_DEU,,0,4717_DEU
Vf Prague One,Czech Republic,2020,Czech Republic,CZE,Vf Prague One,313_CZE,0.0,0,313_CZE
Primeblade Sweden Ab,Sweden,2019,Sweden,SWE,Primeblade Sweden Ab,745_SWE,100.0,0,745_SWE
Hang Gang Lace,China,2019,China,CHN,Hang Gang Lace,43681_CHN,0.0,0,43681_CHN
Ningguo City Share Electronics,China,2019,China,CHN,Ningguo City Share Electronics,18731_CHN,0.0,0,18731_CHN
Schneider Electric Benalla,Australia,2019,Australia,AUS,Schneider Electric Benalla,CHN_1678,82.0,1,
Nantong Jiangshan Agrochemical,China,2020,China,CHN,Nantong Jiangshan Agrochemical,CHN_1679,91.0,1,
Como Engineers,Australia,2020,Australia,AUS,Como Engineers,102_IDN,0.0,0,102_IDN
Ovk Llc,Russia,2019,Russia,RUS,Ovk Llc,850_RUS,0.0,0,850_RUS
Pacifictec Scientific Pte,Singapore,2020,Singapore,SGP,Pacifictec Scientific Pte,6685_SGP,0.0,0,6685_SGP
Mm6,France,2021,France,FRA,Mm6,CHN_1680,,1,
Botou Kemai Pumps,China,2020,China,CHN,Botou Kemai Pumps,32385_CHN,100.0,0,32385_CHN
Chemical Codes For Imp. Exp.,Jordan,2019,Jordan,JOR,Chemical Codes For Imp Exp,134_JOR,100.0,0,134_JOR
Lulu Tourism Co. B.S.C(C),Bahrain,2020,Bahrain,BHR,Lulu Tourism Co Bsc(C),139_BHR,0.0,0,139_BHR
Windon Industrial Ltd.,China,2021,China,CHN,Windon Industrial Ltd,CHN_1681,,1,
Power Monitoring & Diagnostic Technology Ltd.,United States,2021,United States,USA,Power Monitoring & Diagnostic Technology Ltd,15504_USA,,0,15504_USA
Ito Tebukuro,Japan,2021,Japan,JPN,Ito Tebukuro,3153_JPN,,0,3153_JPN
Chau Giang,Vietnam,2021,Vietnam,VNM,Chau Giang,659_VNM,,0,659_VNM
Epak Solutions Shenzhen,China,2020,China,CHN,Epak Solutions Shenzhen,38476_CHN,0.0,0,38476_CHN
Aplus Products Nw,United States,2021,United States,USA,Aplus Products Nw,1836_USA,,0,1836_USA
Interholco Ag,Belgium,2019,Belgium,BEL,Interholco Ag,1750_CHE,0.0,0,1750_CHE
Applikon Biotechnology Bv,Netherlands,2019,Netherlands,NLD,Applikon Biotechnology Bv,2955_NLD,0.0,0,2955_NLD
Huizhou Blue Union Garment,China,2020,China,CHN,Huizhou Blue Union Garment,CHN_1682,83.0,1,
Asterix United B Sdn Bhd,Brunei Darussalam,2021,Brunei Darussalam,BRN,Asterix United B Sdn Bhd,106_BRN,,0,106_BRN
Cedric Rochat Sa,Switzerland,2020,Switzerland,CHE,Cedric Rochat Sa,1556_CHE,0.0,0,1556_CHE
L J International,China,2021,China,CHN,L J International,CHN_1683,,1,
Apl Logistics,Ghana,2020,Ghana,GHA,Apl Logistics,2825_SGP,0.0,0,2825_SGP
Ever Resources Internationa Hong Kong Ltd.,Hong Kong,2020,Hong Kong,HKG,Ever Resources Internationa Hong Kong Ltd,CHN_1684,99.0,1,
Peb Steel Buildings,Vietnam,2020,Vietnam,VNM,Peb Steel Buildings,7797_VNM,0.0,0,7797_VNM
Dulon Vina,Vietnam,2020,Vietnam,VNM,Dulon Vina,6607_VNM,0.0,0,6607_VNM
F H Devi Ewa Dabrowa,Poland,2019,Poland,POL,F H Devi Ewa Dabrowa,385_POL,0.0,0,385_POL
Zhentang International Hk,China,2021,China,CHN,Zhentang International Hk,CHN_1685,,1,
Cgpro Sports Ltd.,China,2020,China,CHN,Cgpro Sports Ltd,37133_CHN,100.0,0,37133_CHN
Devon Lifestyle,New Zealand,2020,New Zealand,NZL,Devon Lifestyle,407_NZL,100.0,0,407_NZL
Arosa Systems,United States,2021,United States,USA,Arosa Systems,CHN_1686,,1,
Glunz Jenzen S R O,Slovakia,2021,Slovakia,SVK,Glunz Jenzen S R O,CHN_1687,,1,
Meng Sin Material,Taiwan,2019,Taiwan,TWN,Meng Sin Material,5935_TWN,100.0,0,5935_TWN
Checkpoint Apparel Labelling Solution Asia Ltd.,Hong Kong,2019,Hong Kong,HKG,Checkpoint Apparel Labelling Solution Asia Ltd,CHN_1688,99.0,1,
Alivira Animal Health Ltd.,India,2020,India,IND,Alivira Animal Health Ltd,CHN_1689,98.0,1,
Dlc Trading Llc,United States,2019,United States,USA,Dlc Trading Llc,CHN_1690,83.0,1,
Bali Temple Srl,Romania,2019,Romania,ROU,Bali Temple Srl,81_ROU,0.0,0,81_ROU
Venture Out,United States,2021,United States,USA,Venture Out,CHN_1691,,1,
Dystar Japan Nagase Logistics,Japan,2019,Japan,JPN,Dystar Japan Nagase Logistics,3160_JPN,0.0,0,3160_JPN
Pont S L,Spain,2021,Spain,ESP,Pont S L,CHN_1692,,1,
Geneaid Biotech,Taiwan,2020,Taiwan,TWN,Geneaid Biotech,5374_TWN,0.0,0,5374_TWN
Plaosan S R O,Czech Republic,2019,Czech Republic,CZE,Plaosan S R O,131_CZE,100.0,0,131_CZE
Luminescence International Ltd.,United Kingdom,2021,United Kingdom,GBR,Luminescence International Ltd,4612_GBR,,0,4612_GBR
Fazil Timbers,India,2020,India,IND,Fazil Timbers,5599_IND,0.0,0,5599_IND
Forma,Russia,2021,Russia,RUS,Forma,CHN_1693,,1,
Hthai Thailand 4 4 14 2 4 4 Central,Malaysia,2019,Malaysia,MYS,Hthai Thailand 4 4 14 2 4 4 Central,4533_MYS,0.0,0,4533_MYS
Sungho,South Korea,2021,,,Sungho,CHN_1694,,1,
Ste Simone,Reunion,2019,Reunion,REU,Ste Simone,17_REU,0.0,0,17_REU
Guangdong Allwell Cookware Group,Hong Kong,2019,Hong Kong,HKG,Guangdong Allwell Cookware Group,8349_HKG,0.0,0,8349_HKG
Klotz Technics Gmb H Kg,Netherlands,2021,Netherlands,NLD,Klotz Technics Gmb H Kg,761_NLD,,0,761_NLD
Orgentec Diagnostika Gmb H,Germany,2020,Germany,DEU,Orgentec Diagnostika Gmb H,4623_DEU,100.0,0,4623_DEU
Trading Technical Services,Colombia,2019,Colombia,COL,Trading Technical Services,330_COL,0.0,0,330_COL
Senko Advanced Components Hk,Hong Kong,2019,Hong Kong,HKG,Senko Advanced Components Hk,9448_HKG,0.0,0,9448_HKG
