foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,matching_score,new,old_name
Everunion International Chemical Lt,Hong Kong,2019,Hong Kong,HKG,Everunion International Chemical Lt,6767_HKG,0.0,0,6767_HKG
Acs Towel Ltd.,Bangladesh,2021,Bangladesh,BGD,Acs Towel Ltd,622_BGD,,0,622_BGD
Shaoxing Quye Textiles,China,2019,China,CHN,Shaoxing Quye Textiles,CHN_1218,86.0,1,
Coastal Steel & Galvanizing W L L,Qatar,2020,Qatar,QAT,Coastal Steel & Galvanizing W L L,461_QAT,0.0,0,461_QAT
Cong Ty Tnhh Thuong Mai Xuat Nhap Khau Thuan Long,Vietnam,2021,Vietnam,VNM,Cong Ty Tnhh Thuong Mai Xuat Nhap Khau Thuan Long,139_VNM,,0,139_VNM
Manipulados Canada Sl,Spain,2021,Spain,ESP,Manipulados Canada Sl,CHN_1219,,1,
Shantou Hanle Packaging,China,2019,China,CHN,Shantou Hanle Packaging,CHN_1220,95.0,1,
Tung Mung Textile Vietnam Pte Toha,Vietnam,2020,Vietnam,VNM,Tung Mung Textile Vietnam Pte Toha,169_VNM,0.0,0,169_VNM
Changzhou Shuangle Textile Product,China,2021,China,CHN,Changzhou Shuangle Textile Product,39473_CHN,,0,39473_CHN
Cotonificio Albini Sp A,Italy,2019,Italy,ITA,Cotonificio Albini Sp A,2811_ITA,0.0,0,2811_ITA
Anji Fuhe Furniture,China,2019,China,CHN,Anji Fuhe Furniture,CHN_1221,85.0,1,
Fully Loaded International,Hong Kong,2019,Hong Kong,HKG,Fully Loaded International,CHN_1222,93.0,1,
China Chengdu International Technoeconomic Cooperation,China,2019,China,CHN,China Chengdu International Technoeconomic Cooperation,CHN_1223,84.0,1,
Phoenix Products Co. Inc.,United States,2021,United States,USA,Phoenix Products Co Inc,11070_USA,,0,11070_USA
Faso Coton P C Paul Reinhart Ag,Switzerland,2019,Switzerland,CHE,Faso Coton P C Paul Reinhart Ag,1339_CHE,0.0,0,1339_CHE
Fufeng Hong Kong Imp. Exp. Com,Hong Kong,2019,Hong Kong,HKG,Fufeng Hong Kong Imp Exp Com,6814_HKG,100.0,0,6814_HKG
Qingdao Weidong Precision Mould,China,2019,China,CHN,Qingdao Weidong Precision Mould,CHN_1224,87.0,1,
Nautica Apparel International Licensing,United States,2020,United States,USA,Nautica Apparel International Licensing,2507_USA,0.0,0,2507_USA
Luxamed Gmb H Kg,Germany,2020,Germany,DEU,Luxamed Gmb H Kg,2004_DEU,0.0,0,2004_DEU
Growith Pte,Singapore,2019,Singapore,SGP,Growith Pte,7346_SGP,0.0,0,7346_SGP
Giorgio Giamminola C Srl,Italy,2019,Italy,ITA,Giorgio Giamminola C Srl,4754_ITA,100.0,0,4754_ITA
Ceo Business Service (Pty),Australia,2020,Australia,AUS,Ceo Business Service (Pty),3849_AUS,0.0,0,3849_AUS
Benetton Group Srl,Italy,2020,Italy,ITA,Benetton Group Srl,866_ITA,100.0,0,866_ITA
Hangzhou Yongdian Illumination,China,2019,China,CHN,Hangzhou Yongdian Illumination,38569_CHN,100.0,0,38569_CHN
Aditya Birla Chemicals (Thailand) L,Thailand,2021,Thailand,THA,Aditya Birla Chemicals (Thailand) L,CHN_1225,,1,
Shanghai Banner Demo Ship Equipment,China,2019,China,CHN,Shanghai Banner Demo Ship Equipment,17916_CHN,100.0,0,17916_CHN
Oasis Fabrics Llc,United States,2021,United States,USA,Oasis Fabrics Llc,2792_USA,,0,2792_USA
Nextrom Enterprise Pte,Singapore,2019,Singapore,SGP,Nextrom Enterprise Pte,3319_SGP,0.0,0,3319_SGP
Beyond Borders Imp.,United States,2021,United States,USA,Beyond Borders Imp,2585_USA,,0,2585_USA
Oliver James Key Premier Inter Movers,Portugal,2020,Portugal,PRT,Oliver James Key Premier Inter Movers,7_PRT,0.0,0,7_PRT
Thermoware Particle Foam Machi,Netherlands,2019,Netherlands,NLD,Thermoware Particle Foam Machi,3025_NLD,0.0,0,3025_NLD
Vazovski,Bulgaria,2019,Bulgaria,BGR,Vazovski,321_BGR,0.0,0,321_BGR
Yamatogawa Shiko,Japan,2019,Japan,JPN,Yamatogawa Shiko,7630_JPN,0.0,0,7630_JPN
Ecolog Laboratoires Runis Junglinster,Luxembourg,2020,Luxembourg,LUX,Ecolog Laboratoires Runis Junglinster,5_LUX,0.0,0,5_LUX
Ihi Rotatitng Machinery Engineering,Japan,2019,Japan,JPN,Ihi Rotatitng Machinery Engineering,CHN_1226,99.0,1,
"Kamol Industries Co., Ltd.",Thailand,2019,Thailand,THA,Kamol Industries Co Ltd,CHN_1227,84.0,1,
Lushworld,Taiwan,2020,Taiwan,TWN,Lushworld,8830_TWN,0.0,0,8830_TWN
First Light Enterprises,Taiwan,2019,Taiwan,TWN,First Light Enterprises,CHN_1228,81.0,1,
Shenzhen Hcc Imp. Exp.,China,2020,China,CHN,Shenzhen Hcc Imp Exp,CHN_1229,83.0,1,
Dowell Schlumberger Middle East,Egypt,2019,Egypt,EGY,Dowell Schlumberger Middle East,28633_USA,94.0,0,28633_USA
Beneoorafti Sa,Belgium,2020,Belgium,BEL,Beneoorafti Sa,CHN_1230,90.0,1,
Montgomery Chemicals,United States,2020,United States,USA,Montgomery Chemicals,23981_USA,100.0,0,23981_USA
Tec Support Gmb H,Germany,2019,Germany,DEU,Tec Support Gmb H,4730_DEU,0.0,0,4730_DEU
Alsahya International Trading,Saudi Arabia,2021,Saudi Arabia,SAU,Alsahya International Trading,CHN_1231,,1,
Golden Fortune Enterprises,Tonga,2019,Tonga,TON,Golden Fortune Enterprises,2_TON,100.0,0,2_TON
Fujian Metals Minerals Imp. Exp.,China,2020,China,CHN,Fujian Metals Minerals Imp Exp,CHN_1232,86.0,1,
Shanghai Haiyang Fengrun Textile,China,2021,China,CHN,Shanghai Haiyang Fengrun Textile,CHN_1233,,1,
Kanagu Kemmochi,Japan,2021,Japan,JPN,Kanagu Kemmochi,9327_JPN,,0,9327_JPN
Tong Shii Industrial,Taiwan,2019,Taiwan,TWN,Tong Shii Industrial,2015_TWN,100.0,0,2015_TWN
Lv Sg Warehouse,Singapore,2021,Singapore,SGP,Lv Sg Warehouse,CHN_1234,,1,
Kings Metal Fiber Technologies,Taiwan,2020,Taiwan,TWN,Kings Metal Fiber Technologies,7714_TWN,0.0,0,7714_TWN
The Pclub Group Pte,Singapore,2019,Singapore,SGP,The Pclub Group Pte,CHN_1235,86.0,1,
Ormazabal International Business,Spain,2021,Spain,ESP,Ormazabal International Business,CHN_1236,,1,
Center Of Life,United States,2019,United States,USA,Center Of Life,20403_USA,100.0,0,20403_USA
Jc Penney 9467 2,United States,2020,United States,USA,Jc Penney 9467 2,3439_USA,100.0,0,3439_USA
Leonardo Sp A,Italy,2020,Italy,ITA,Leonardo Sp A,782_ITA,100.0,0,782_ITA
Baldassare Agnelli Sp A,Italy,2019,Italy,ITA,Baldassare Agnelli Sp A,3699_ITA,0.0,0,3699_ITA
Expeditors International Cr S.R.O.,Czech Republic,2021,Czech Republic,CZE,Expeditors International Cr Sro,CHN_1237,,1,
B H Worldwide,United States,2019,United States,USA,B H Worldwide,CHN_1238,85.0,1,
Sheng Yang Fiber,Taiwan,2021,Taiwan,TWN,Sheng Yang Fiber,CHN_1239,,1,
Global Resources Vietnam Group,Vietnam,2019,Vietnam,VNM,Global Resources Vietnam Group,7081_VNM,100.0,0,7081_VNM
Solecsolar Energy Corp,United States,2019,United States,USA,Solecsolar Energy Corp,26109_USA,100.0,0,26109_USA
S Oliver,Germany,2019,Germany,DEU,S Oliver,882_DEU,100.0,0,882_DEU
Norma,Poland,2020,Poland,POL,Norma,CHN_1240,91.0,1,
Sinopec Japan,Japan,2020,Japan,JPN,Sinopec Japan,9911_JPN,0.0,0,9911_JPN
